Best Western Dash QA | Programmatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadence: QA weekly (Monday to Sunday),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboards,Use Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Channel Dashboard,Source of Truth,,,,,,,,,,,,,,,,,,,,,,Source of Truth,,,,,,
Dashboard ,Client Use,,,,,,,,,,,,,,,,,,,,,,Clicks,,Impressions,,Cost,,
Mailgun Dash,"Mailgun Inputs from Partners (Cognitiv, Pelmorex, TripAdvisor)",,,,,,,,,,,,,,,,,,,,,,DCM,Platform,DCM,Platform,DCM,Platform,Mailgun
,,,,,,,,,,,,,,,,,,,,,,,TTD,,TTD,,,TTD,
,,,,,,,,,,,,,,,,,,,,,,,Google,,Google,,,Google,
,,,,,,,,,,,,,,,,,,,,,,,Amazon,,Amazon,,,Amazon,
,,,,,,,,,,,,,,,,,,,,,,,Cognitiv,,Cognitiv,,,,Cognitiv
,,,,,,,,,,,,,,,,,,,,,,,Pelmorex,,Pelmorex,,,,Pelmorex
,,,,,,,,,,,,,,,,,,,,,,,Tripadvisor,,Tripadvisor,,,,Tripadvisor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Alli Dashboard (Source of Truth),,,DCM,,Platform,,,"Source of Truth Dash vs. 
Source of Truth Inputs",,,"Source of Truth Inputs vs. 
Platform",,"Source of Truth Dash vs. 
Integrated Reporting Dash",,,INCLUDE IN NOTE TO CS,,,,,
Date Range,QAer,Tactic,Country,Platform,Campaign Name,Funnel,Link to Campaign,Alli Media Spend,Alli Impressions,Alli Clicks,DCM Impressions,DCM Clicks,"Platform/
Mailgun Spend ",Platform Impressions ,Platform Clicks ,Impresssion Delta,Click Delta,Spend Delta,Impresssion Delta,Click Delta,Metrics Match,KPI,Benchmark,% to Benchmark,Complete,Discrepancy Notes,"Flagged to Analytics?
(Make sure to include @supportanalytics on request)",Emoji'd in Slack & Tagged BW CS,
2/9-2/15,Noel B,Display,US,Google,US Demand Gen Display 2026,Conversion,US Demand Gen Display 2026,"$53,827.00","5,277,675","38,179","5,277,462","38,179","$53,823.41","5,279,674","37,990",0.00%,0.00%,0.01%,-0.04%,0.50%,TRUE,NA,NA,NA,FALSE,,FALSE,Emoji'd!,
,Noel B,,CA,Google,CA Demand Gen Display 2026,Conversion,CA Demand Gen Display 2026,"$4,484.00","404,233","2,313","404,203","2,313","$4,483.59","403,860","2,323",0.01%,0.00%,0.01%,0.08%,-0.43%,TRUE,NA,NA,NA,FALSE,,FALSE,,
,Noel B,,US,Google,Best Western - US - 2026 - GHADR,Conversion,Best Western - US - 2026 - GHADR,"$8,858.00","786,167","7,632","786,167","7,630","$8,857.39","816,701","8,951",0.00%,0.03%,0.01%,-3.74%,-14.76%,TRUE,NA,NA,NA,FALSE,,FALSE,,
